


1_star: A ac; nt
anesthesia_reversal: N nc; treatment
anesthetic_recovery: N nc; treatment
aneurysm_surgery: N nc; treatment
angiotensin_i: N;
angiotensin_ii: N;
angiotensin_iii: N;
angiotensin_iv: N;
anglican_catholic: NNP nc; per
anglican_catholics: NNP Xs;
angry_cat: N nc;
angstrom_unit: N nc unit;
angular_distance: N nc;
angular_unit: N nc unit;
angus_og: NNP;
animal_fancier: N nc; per
animal_fiber: N nc; prod
animal_fibre: N nc; prod
anionic_detergent: N nc; prod
ankle_arthrodesis: N nc; treatment
annexin_a1: N;
annexin_a11: N;
annexin_a2: N;
annexin_a3: N;
annexin_a4: N;
annexin_a5: N;
annexin_a6: N;
annexin_a7: N;
annexin_a8: N;
annexin_i: N;
annexin_ii: N;
annexin_iii: N;
annexin_iv: N;
annexin_v: N;
annexin_vi: N;
annexin_vii: N;
anno_domini: RB;
annunciation_day: NNP;
annunciation_days: NNP Xs;
another_such: DT; pureDT
anovulatory_drug: N nc; prod
answering_machine: N nc; tool
answering_phone: N nc; pt
antarctic_circle: N nc;
antarctic_zone: N nc;
antediluvian_patriarch: N nc; per
anthrax_bacillus: N nc; nt
anthrax_toxin: N nc; nt
anti-g_suit: N nc; tool
anti-personnel_bomb: N nc; prod
anti-submarine_rocket: N nc; prod
anti-sway_bar: N nc; tool
anti-torque_rotor: N nc; tool
anti-virus_program: N nc; tool
antiangiogenic_therapy: N nc; treatment
antianxiety_drug: N nc; prod
antibiotic_prophylaxis: N nc; treatment
antibiotic_resistance: N nc; nt
antibiotic_therapy: N nc; treatment
anticoagulant_therapy: N nc; treatment
anticonvulsant_therapy: N nc; treatment
antifungal_resistance: N nc; abstract
antihypertensive_therapy: N nc; treatment
antimicrobial_therapy: N nc; treatment
antimycin_a: N;
antipersonnel_bomb: N nc; prod
antireflux_operation: N nc; treatment
antisense_therapy: N nc; treatment
antistreptolysin_o: N;
antiviral_therapy: N nc; treatment
anus_surgery: N nc; treatment
any_execuse: N nc; troubleW
any_kind_of: DT;
any_kind: N nc; abstract
any_of: ; pureDT vtt
any_one_of: DT;
any_one: N nc; per proNN vac
any_other: DT; pureDT
any_sort_of: DT;
any_such: DT; pureDT
anybody_else: N nc; per proNN vac
anyone_else: N nc; per proNN
anything_else: N nc; proNN tWord
ao_dai: N nc; tool
aorta_clamping: N nc; treatment
aorta_graft: N nc; treatment
aorta_prosthesis: N nc; treatment
aorta_reconstruction: N nc; treatment
aorta_surgery: N nc; treatment
aortic_annuloplasty: N nc; treatment
aortic_valve: N nc; bodyPart
aortocoronary_bypass: N nc; treatment
aortofemoral_bypass: N nc; treatment
aortopulmonary_shunt: N nc; treatment
apart_from: P; RB expression /besides/
apgar_score: N
aplysia_toxin: N nc; nt
apnea_monitoring: N nc; treatment
apolipoprotein_a-i: N;
apolipoprotein_a-ii: N;
apolipoprotein_a-iv: N;
apolipoprotein_a-v: N;
apolipoprotein_a: N;
apolipoprotein_a1: N;
apolipoprotein_a2: N;
apolipoprotein_a5: N;
apolipoprotein_ai: N;
apolipoprotein_aii: N;
apolipoprotein_aiv: N;
apolipoprotein_av: N;
apolipoprotein_b-100: N;
apolipoprotein_b-48: N;
apolipoprotein_b: N;
apolipoprotein_b100: N;
apolipoprotein_b48: N;
apolipoprotein_c-i: N;
apolipoprotein_c-ii: N;
apolipoprotein_c-iii: N;
apolipoprotein_c-iv: N;
apolipoprotein_c: N;
apolipoprotein_c1: N;
apolipoprotein_c2: N;
apolipoprotein_c3: N;
apolipoprotein_c4: N;
apolipoprotein_ci: N;
apolipoprotein_cii: N;
apolipoprotein_ciii: N;
apolipoprotein_civ: N;
apolipoprotein_d: N;
apolipoprotein_e: N;
apolipoprotein_e1: N;
apolipoprotein_e2: N;
apolipoprotein_e3: N;
apolipoprotein_e4: N;
apolipoprotein_h: N;
apolipoprotein_m: N;
apollo_asteroid: N;
apostelic_father: NNP nc; relatives
apostelic_fathers: NNP Xs;
apostolic_delegate: N nc; per
apothecaries'_ounce: N nc unit;
apothecaries'_pound: N nc unit;
apothecaries'_unit: N nc unit;
apothecaries'_weight: N nc unit;
apparel_chain: N nc; com
apparent_horizon: N nc;
appeals_clerk: N nc; job
appeals_court: N nc; orgHN
appellate_court: N nc; orgHN
apple_orchard: N nc;
apple_polisher: N nc; per
Apple: NE company
approach_path: N nc;
apyretic_tetanus: N nc; nt
arabian_nights: NNP Xs;
arabian_nights'_entertainment: NNP;
arc_lamp: N nc; prod
arc_light: N nc; prod
archeological_site: N nc;
archicad_drafter: N nc; job
architectural_drafter: N nc; job
architectural_lead: N nc; job
arctic_char: N
arctic_zone: N nc;
area_unit: N nc unit; vac
arise_from: VB vc; effectV vac
arm_amputation: N nc; treatment
arm_exercise: N nc; treatment
arm_guard: N nc; tool
armchair_liberal: N nc; per
armed_forces_day: NNP;
armed_forces_days: NNP Xs;
armed_forces: N nc; orgHN
armed_service: N nc; orgHN
armed_services: N nc; orgHN
arminian_baptist: NNP nc; per
armistice_day: NNP;
armor_plate: N nc; tool
armor_plating: N nc; tool
armored_vehicle: N nc; prod
armour_plate: N nc; tool
armoured_vehicle: N nc; prod
arms_manufacturer: N nc; per
army_brat: N nc; per
army_tank: N nc; prod tool
army_unit: N nc; orgHN
around_town: ; RB idiomPP
arrhenius_theory_of_dissociation: N;
arriere_pensee: N nc; count
arse_hole: N nc; curse
arse_wipe: N nc; curse
art_nouveau: N nc; abstract
art_therapy: N nc; treatment
arteriovenous_shunt: N nc; treatment
artery_anastomosis: N nc; treatment
artery_bypass: N nc; treatment
artery_graft: N nc; treatment
artery_ligation: N nc; treatment
artery_reconstruction: N nc; treatment
artery_stripping: N nc; treatment
artery_surgery: N nc; treatment
artery_transplantation: N nc; treatment
arthroscopic_surgery: N nc; treatment
arthus_phenomenon: N
