'bout:: P; about content 'about' /about/
abreviating:: Ving; VNPPP VNPPPas chgAttr chgQuant vt 'abbreviate' /abbreviate/
abreviations:: NN deverbal; nc VerbNom component name 'abbreviation' /abbreviation/
abrex:: NNP NE; com  
abridged:: A Ven past per; vc produce vt 'abridge' /abridge/
abridges:: VBZ; vc produce vt 'abridge' /abridge/
abridging:: Ving; produce vt 'abridge' /abridge/
abrogated:: Ved; vc enHidden 'abrogate' /abrogate/
abrogates:: VBZ; vc enHidden 'abrogate' /abrogate/
abrupted:: Ved; vc graduality nt 'abrupt' /abrupt/
abruptly:: ac down ly; graduality nt 'abrupt' /abrupt/
absailed:: NN nc per; abstract v 'abseil' /abseil/
absailing:: Ving; abstract v 'abseil' /abseil/
absails:: VBZ; vc abstract v 'abseil' /abseil/
abscessed:: Ved; vc VNPPP VPP VerbNom component 'abscess' /abscess/
abscesses:: NNS Xs; nc VNPPP VPP VerbNom component 'abscess' /abscess/
abscised:: Ved; vc vt 'abscise' /abscise/
abscises:: VBZ; vc vt 'abscise' /abscise/
abscising:: Ving; vt 'abscise' /abscise/
abscissas:: NNS; nc abstract info 'abscissa' /abscissa/
absconded:: NN Ven nc past per; VPP VPPPP leave vi 'abscond' /abscond/
absconding:: Ving; VPP VPPPP leave vi 'abscond' /abscond/
absconds:: VBZ; vc VPP VPPPP leave vi 'abscond' /abscond/
absconsiones:: NNS Xs; nc 'absconsione' /absconsione/
abseiled:: NN Ven nc past per; abstract v 'abseil' /abseil/
abseiling:: Ving; abstract v 'abseil' /abseil/
abseils:: VBZ; vc abstract v 'abseil' /abseil/
absences:: NNS; nc nt statePhy 'absence' /absence/
absent-mindedly:: ac down ly; AitPPforTO behavior hyphenated 'absent-minded' /absent-minded/
absented:: Ved; vc APP VNPPP statePhy vt 'absent' /absent/
absentees:: NNS; nc count per 'absentee' /absentee/
absenting:: Ving; APP VNPPP statePhy vt 'absent' /absent/
absently:: RB; ac APP VNPPP statePhy vt 'absent' /absent/
absentmindedly:: RB; ac VA a con ly mannerRB 'absentminded' /absentminded/ 
absents:: VBZ; vc APP VNPPP statePhy vt 'absent' /absent/
absolutely:: ac degree expression intensifier ly topN3; abstract 'absolute' /absolute/
absolutes:: NNS; nc abstract 'absolute' /absolute/
absolutly:: ac degree expression intensifier ly; abstract 'absolute' /absolute/
absolved:: NN Ven nc past per; VNPPP chgIsa vt 'absolve' /absolve/
absolves:: VBZ; VNPPP chgIsa vt 'absolve' /absolve/
