tear_duct:N nc bodyPartN perF
tear_ducts:NNS plu nc bodyPartN perF 'tear_duct'
eye_lash:N nc bodyPartN perF
eye_lashes:NNS plu nc bodyPartN perF 'eye_lash'
#1_rated: A ac; 
'emselves: ;PRP reflexive 
air_pressures: NN NNS nc;Xs n plu 'air_pressure' 
air_sac: NN nc; 
air_sacs: NN NNS nc;Xs n plu 'air_sac' 
air_sock: NN nc; 
air_socks: NN NNS nc;Xs n plu 'air_sock' 
air_spring: NN nc; 
air_springs: NN NNS nc;Xs n plu 'air_spring' 
air_terminal: NN nc; 
air_terminals: NN NNS nc;Xs n plu 'air_terminal' 
air_traffic: NN nc; 
air_transport: NN nc; 
air_travel: NN nc; 
air_wave: NN nc; 
air_waves: NN NNS nc;Xs n plu 'air_wave' 
air_well: NN nc; 
air_wells: NN NNS nc;Xs n plu 'air_well' 
airborne_transmission: NN nc; 
airplane_landing: NN nc; 
airplane_landings: NN NNS nc;Xs n plu 'airplane_landing' 
airport_terminal: NN nc; 
airport_terminals: NN NNS nc;Xs n plu 'airport_terminal' 
akin_to: P; 
al_fresco: A ac;RB 
aldolase_A: NN nc; 
aldolase_B: NN nc; 
aldolase_C: NN nc; 
alert_level: NN nc; 
alkaline_pH: NN nc; 


all_at_once: ;RB 
all_but: ;RB 
all_day_long: ;RB 
all_in_all: ;RB 
all_of_a_sudden: ;RB 
all_of_which: ;DT wh 
all_over: P; 
all_over_the_world: ;RB 
all_the_same: ;RB 
all_the_time: ;RB idiomPP timeRB 
all_the_while: ;RB 
all_time: ;RB idiomPP timeRB 
all_too: ;RB 
allergy_testing: VB Ving nN npr vc;pt 'allergy_test' 
allergy_tests: NNS Xs nc;pt 'allergy_test' 
allowed_out: vc;Ven past 
allowing_out: Ving; 
allows_out: vc;VBZ 
alma_maters: NNS nc;abstract org 'alma_mater' 
aloe_vera: NN nc; 
along_the_border_of: P;vtt 
along_the_bottom_of: P;vtt 
along_the_edge_of: P;vtt 
along_the_front_of: P;vtt 
along_the_middle_of: P;vtt 
along_the_side_of: P;vtt 
along_the_top_of: P;vtt 
alongside_of: P;vtt 
alopecia_areata: NN nc; 
alpha_thalassemia: NN nc; 
alphanumeric_displays: NNS nc;prod tool 'alphanumeric_display' 
alter_egos: NNS nc;count per 'alter_ego' 
