#1-rated: /top-rated/  A ac; good hyphenated
'em: /them/  PRP 'them'
'emselves: /themselves/  PRP reflexive 'themselves'
'fore: /before/  P SC
'tween: /between/  RB P
2-dimensional: /2-dimensional/  A ac; hyphenated
achromasia: /achromasia/  NN nc;
achromatia: /achromatia/  NNS Xs nc;
achromaticity: /achromaticity/  NN nc;
achromatin: /achromatin/  NN nc;
achromatinic: /achromatinic/  A ac;
achromatism: /achromatism/  NN nc;
achromatium: /achromatium/  NN nc;
achromia: /achromia/  NN nc;
achromous: /achromous/  A ac;
achy: /achy/  A ac;
achylia: /achylia/  NN nc;
aciclovir: /aciclovir/  N nc; sgPlu 
acicula: /acicula/  NN nc;
aciculae: /aciculae/  NNS Xs nc;
acicular: /acicular/  A ac;
aciculate: /aciculate/  A ac;
acid-tasting: /acid-tasting/  A ac; hyphenated
acid-washed: /acid-washed/  A ac; hyphenated
acida: /acida/  NNS Xs nc;
acidaemia: /acidaemia/  NN nc;
acidemia: /acidemia/  NN nc;
acidifier: /acidifier/  NN nc;
acidimetric: /acidimetric/  A ac;
acidithiobacilli: /acidithiobacilli/  NNS Xs nc;
acidithiobacillus: /acidithiobacillus/  NN nc;
acidobacteria: /acidobacteria/  NNS Xs nc;
acidobacterium: /acidobacterium/  NN nc;
acidogenesis: /acidogenesis/  NN nc;
acidolysis: /acidolysis/  NN nc;
acidophilic: /acidophilic/  A ac;
acidophilous: /acidophilous/  A ac;
acidotic: /acidotic/  A ac;
acidulant: /acidulant/  NN nc;
acidulent: /acidulent/  A ac;
acidulousness: /acidulousness/  NN nc;
acidum: /acidum/  NN nc;
aciduria: /aciduria/  NN nc;
aciduric: /aciduric/  A ac;
acinar: /acinar/  A ac;
acini: /acini/  NNS Xs nc;
acinic: /acinic/  A ac;
acinose: /acinose/  A ac;
acinous: /acinous/  A ac;
ackee: /ackee/  NN nc;
acknowledgeable: /acknowledgeable/  A ac;
aclasis: /aclasis/  NN nc;
acned: /acned/  A ac;
acneiform: /acneiform/  A ac;
acold: /acold/  A ac;
aconte: /aconte/  NN nc;
acontia: /acontia/  NNS Xs nc;
acontium: /acontium/  NN nc;
acorea: /acorea/  NN nc;
acousma: /acousma/  NN nc;
acousmata: /acousmata/  NNS Xs nc;
acousticophobia: /acousticophobia/  NN nc;
acquaintanceship: /acquaintanceship/  NN nc;
acquiescent: /acquiescent/  A ac; AitPPforTO
acquiesence: /acquiesence/  NN nc;
acquirable: /acquirable/  A ac;
acquisition-proof: /acquisition-proof/  A ac; hyphenated
acquisiton: /acquisiton/  NN nc;
acquistion: /acquistion/  NN nc;
acquittance: /acquittance/  NN nc;
acranii: /acranii/  NNS Xs nc;
acranius: /acranius/  NN nc;
acre-feet: /acre-feet/  NN nc; hyphenated
acridid: /acridid/  NN nc;
acridin: /acridin/  NN nc;
acridine: /acridine/  NN nc;
acridity: /acridity/  NN nc;
acridness: /acridness/  NN nc;
acrimonious: /acrimonious/  A ac;
acritarch: /acritarch/  NN nc;
acritical: /acritical/  A ac;
acro-kerato-elastoidoses: /acro-kerato-elastoidoses/  NNS Xs nc; hyphenated
acro-kerato-elastoidosis: /acro-kerato-elastoidosis/  NN nc; hyphenated
acro-keratoelastoidoses: /acro-keratoelastoidoses/  NNS Xs nc; hyphenated
acro-keratoelastoidosis: /acro-keratoelastoidosis/  NN nc; hyphenated
acro-osteolyses: /acro-osteolyses/  N plu nc hyphenated Xs
acro-osteolysis: /acro-osteolysis/  NN nc hyphenated
acroanaesthesia: /acroanaesthesia/  NN nc;
acroanesthesia: /acroanesthesia/  NN nc;
acrobacy: /acrobacy/  NN nc;
acrobatic: /acrobatic/  A ac;
acrocarp: /acrocarp/  NN nc;
acrocarpous: /acrocarpous/  A ac;
acrocentric: /acrocentric/  A NN ac;
acrocephalosyndactyly: /acrocephalosyndactyly/  NN nc;
acrocephaly: /acrocephaly/  NN nc;
acrocyanosis: /acrocyanosis/  NN nc;
acrodermatitis: /acrodermatitis/  NN nc;
acrodermatosis: /acrodermatosis/  NN nc;
acrodynia: /acrodynia/  NN nc;
acrodysostosis: /acrodysostosis/  NN nc;
acrogenic: /acrogenic/  A ac;
acrogenous: /acrogenous/  A ac;
acrokerato-elastoidoses: /acrokerato-elastoidoses/  NNS Xs nc; hyphenated
acrokerato-elastoidosis: /acrokerato-elastoidosis/  NN nc; hyphenated
acrokeratoelastoidosis: /acrokeratoelastoidosis/  NN nc;
acrokeratosis: /acrokeratosis/  NN nc;
acrolein: /acrolein/  NN NNS nc; sgPlu 
acromegalia: /acromegalia/  NN nc;
acromegalic: /acromegalic/  A ac;
acromegaly: /acromegaly/  NN nc;
acrometastasis: /acrometastasis/  NN nc;
acromia: /acromia/  NNS Xs nc;
acromicria: /acromicria/  NN nc;
acromikria: /acromikria/  NN nc;
acromphalus: /acromphalus/  NN nc;
acromyotonia: /acromyotonia/  NN nc;
acroneurosis: /acroneurosis/  NN nc;
acronymic: /acronymic/  A ac;
acronymous: /acronymous/  A ac;
acroosteolysis: /acroosteolysis/  NN nc;
acroparalysis: /acroparalysis/  NN nc;
acropetal: /acropetal/  A ac;
acrophobic: /acrophobic/  A ac;
acrophony: /acrophony/  NN nc;
acropustulosis: /acropustulosis/  NN nc;
acroscleroderma: /acroscleroderma/  NN nc;
acrosclerodermata: /acrosclerodermata/  NNS Xs nc;
acrosclerosis: /acrosclerosis/  NN nc;
acrosome: /acrosome/  NN nc;
across-the-board: /across-the-board/  A NN; RB hyphenated idiomPP
across-the-board-cuts: /across-the-board-cuts/  NNS Xs nc; hyphenated
acrosyringia: /acrosyringia/  NNS Xs nc;
acrosyringium: /acrosyringium/  NN nc;
acrotrophoneurosis: /acrotrophoneurosis/  NN nc;
acrylamide: /acrylamide/  NN nc;
acrylate: /acrylate/  NN nc;
acrylic-fiber: /acrylic-fiber/  A ac; hyphenated
acrylonitrile: /acrylonitrile/  NN nc;
actinal: /actinal/  A ac;
actiniae: /actiniae/  NNS Xs nc;
actinian: /actinian/  NN nc;
actiniarian: /actiniarian/  NN nc;
actinide: /actinide/  NN nc;
actinin: /actinin/  NN nc;
actinism: /actinism/  NN nc;
actino-bacteria: /actino-bacteria/  NNS Xs nc; hyphenated
actino-bacterium: /actino-bacterium/  NN nc; hyphenated
actinobacilli: /actinobacilli/  NNS Xs nc;
actinobacillosis: /actinobacillosis/  NN nc;
actinobacillus: /actinobacillus/  NN nc;
actinobacteria: /actinobacteria/  NNS Xs nc;
actinobacterium: /actinobacterium/  NN nc;
actinoid: /actinoid/  NN nc;
actinometric: /actinometric/  A ac;
actinometrical: /actinometrical/  A ac;
actinomorphic: /actinomorphic/  A ac;
actinomorphous: /actinomorphous/  A ac;
actinomycetal: /actinomycetal/  A ac;
actinomycete: /actinomycete/  NN nc;
actinomycetoma: /actinomycetoma/  NN nc;
actinomycetomata: /actinomycetomata/  NNS Xs nc;
actinomycetous: /actinomycetous/  A ac;
actinomycin: /actinomycin/  NN nc;
actinomycoma: /actinomycoma/  NN nc;
actinomycomata: /actinomycomata/  NNS Xs nc;
actinomycotic: /actinomycotic/  A ac;
actinomyxidian: /actinomyxidian/  NN nc;
actinon: /actinon/  NN nc;
actinophytosis: /actinophytosis/  NN nc;
actinopod: /actinopod/  NN nc;
actinotrich: /actinotrich/  NN nc;
actinotrichia: /actinotrichia/  NNS Xs nc;
actinotrichium: /actinotrichium/  NN nc;
actinozoa: /actinozoa/  NNS Xs nc;
action-adventure: /action-adventure/  A ac; hyphenated
action-results: /action-results/  NNS Xs nc; hyphenated
actionable: /actionable/  A ac; AitPPforTO
active-matrix: /active-matrix/  A NN; hyphenated n
active-player: /active-player/  NN nc; hyphenated
activin: /activin/  NN nc;
activistic: /activistic/  A ac;
actomyosin: /actomyosin/  NN nc;
actuarial: /actuarial/  A ac;
aculea: /aculea/  NN nc;
aculeate: /aculeate/  A ac;
aculeated: /aculeated/  A ac;
aculei: /aculei/  NNS Xs nc;
acute-care: /acute-care/  NN nc; hyphenated
acyclic: /acyclic/  A ac;
acyclovir: /acyclovir/  NN NNS nc topN3; sgPlu 
acylate: /acylate/  NN VB; v
acylation: /acylation/  NN nc;
acylcarnitine: /acylcarnitine/  NN nc;
acylglycerol: /acylglycerol/  NN nc;
acyltransferase: /acyltransferase/  NN nc;
ad-free: /ad-free/  A ac; hyphenated
ad-libbing: /ad-libbing/  Ving; hyphenated
ad-rate: /ad-rate/  NN nc; hyphenated
adactylous: /adactylous/  A ac;
adam-and-eve: /adam-and-eve/  NN nc; hyphenated
adamantane: /adamantane/  NN nc;
adamantine: /adamantine/  A ac;
adamantinocarcinoma: /adamantinocarcinoma/  NN nc;
adamantinocarcinomata: /adamantinocarcinomata/  NNS Xs nc;
adamantinoma: /adamantinoma/  NN nc;
adamantinomata: /adamantinomata/  NNS Xs nc;
adamantoblastoma: /adamantoblastoma/  NN nc;
adamantoblastomata: /adamantoblastomata/  NNS Xs nc;
adaptational: /adaptational/  A ac;
adaptative: /adaptative/  A ac;
adaptin: /adaptin/  NN nc;
adaptogen: /adaptogen/  NN nc;
add-ons: /add-ons/  NNS Xs nc; hyphenated
addax: /addax/  NN NNS nc; sgPlu 
added-value: /added-value/  A ac; hyphenated
addenda: /addenda/  NNS Xs nc;
addiction-treatment: /addiction-treatment/  A NN; hyphenated n
addle-brained: /addle-brained/  A ac; hyphenated
addresable: /addresable/  A ac;
addressable: /addressable/  A ac;
adductor: /adductor/  NN nc;
ade: /ade/  NN nc;
adelgid: /adelgid/  NN nc;
adeno-acanthoma: /adeno-acanthoma/  NN nc; hyphenated
adeno-acanthomas: /adeno-acanthomas/  NNS Xs nc; hyphenated
adeno-acanthomata: /adeno-acanthomata/  NNS Xs nc; hyphenated
adeno-carcinoma: /adeno-carcinoma/  NN nc; hyphenated
adeno-carcinomas: /adeno-carcinomas/  NNS Xs nc; hyphenated
adeno-carcinomata: /adeno-carcinomata/  NNS Xs nc; hyphenated
adeno-lipomatoses: /adeno-lipomatoses/  NNS Xs nc; hyphenated
adeno-lipomatosis: /adeno-lipomatosis/  NN nc; hyphenated
adenoacanthoma: /adenoacanthoma/  NN nc;
adenoacanthomata: /adenoacanthomata/  NNS Xs nc;
adenoameloblastoma: /adenoameloblastoma/  NN nc;
adenoameloblastomata: /adenoameloblastomata/  NNS Xs nc;
adenoangiosarcoma: /adenoangiosarcoma/  NN nc;
adenoangiosarcomata: /adenoangiosarcomata/  NNS Xs nc;
adenocarcinomata: /adenocarcinomata/  NNS Xs nc;
adenocarcinomatous: /adenocarcinomatous/  A ac;
adenocard: /adenocard/  NN nc;
adenocarinoma: /adenocarinoma/  NN nc;
adenocarinomata: /adenocarinomata/  NNS Xs nc;
adenochondrosarcoma: /adenochondrosarcoma/  NN nc;
adenochondrosarcomata: /adenochondrosarcomata/  NNS Xs nc;
adenofibroma: /adenofibroma/  NN nc;
adenofibromata: /adenofibromata/  NNS Xs nc;
adenofibrosis: /adenofibrosis/  NN nc;
adenohypophysis: /adenohypophysis/  NN nc;
adenoidal: /adenoidal/  A ac;
adenoleiomyofibroma: /adenoleiomyofibroma/  NN nc;
adenoleiomyofibromata: /adenoleiomyofibromata/  NNS Xs nc;
adenolipoma: /adenolipoma/  NN nc;
adenolipomata: /adenolipomata/  NNS Xs nc;
adenolipomatosis: /adenolipomatosis/  NN nc;
adenolymphoma: /adenolymphoma/  NN nc;
adenolymphomata: /adenolymphomata/  NNS Xs nc;
adenomata: /adenomata/  NNS Xs nc;
adenomatosis: /adenomatosis/  NN nc;
adenomegaly: /adenomegaly/  NN nc;
adenomyo-epithelioma: /adenomyo-epithelioma/  NN nc; hyphenated
adenomyo-epitheliomas: /adenomyo-epitheliomas/  NNS Xs nc; hyphenated
adenomyo-epitheliomata: /adenomyo-epitheliomata/  NNS Xs nc; hyphenated
adenomyoepithelioma: /adenomyoepithelioma/  NN nc;
adenomyoepitheliomata: /adenomyoepitheliomata/  NNS Xs nc;
adenomyofibroma: /adenomyofibroma/  NN nc;
adenomyofibromata: /adenomyofibromata/  NNS Xs nc;
adenomyoma: /adenomyoma/  NN nc;
