20-20_technology:: NNP NE;com '20-20_technologies' 
abu_qir:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chem:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemical:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemical_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemicals:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemicals_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_chemicals_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertiliser:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertiliser_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertiliser_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilisers:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilisers_and_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilisers_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilisers_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemical:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemical_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemicals:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemicals_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_&_chemicals_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemical:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemical_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemicals:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemicals_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizer_and_chemicals_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemical:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemical_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemicals:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemicals_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_&_chemicals_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemical:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemical_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemical_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemicals:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemicals_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_fertilizers_and_chemicals_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_industries:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
abu_qir_industry:: NNP NE;com 'abu_qir_fertilisers_and_chemical_industries' 
academy_of_art:: NNP NE;org 'academy_of_art_university' 
acal_electronic:: NNP NE;com 'acal_electronics' 
accelerate_tech:: NNP NE;com 'accelerate_technology' 
accelerate_technologies:: NNP NE;com 'accelerate_technology' 
accelr8_tech:: NNP NE;com 'accelr8_technology' 
accelr8_technologies:: NNP NE;com 'accelr8_technology' 
access_board:: NNP NE;org 'architectural_and_transportation_barriers_compliance_board' 
access_integrated:: NNP NE;com 'access_integrated_technologies' 
access_integrated_tech:: NNP NE;com 'access_integrated_technologies' 
access_integrated_technology:: NNP NE;com 'access_integrated_technologies' 
access_it:: NNP NE;com 'access_integrated_technologies' 
access_trips:: NNP NE;com 'access_travel' 
accounting_and_auditing_policy:: NNP NE;org 'accounting_and_auditing_policy_committee' 
accsys_technology:: NNP NE;com 'hitachi' 
accton_group:: NNP NE;com 'accton_technology' 
accton_tech:: NNP NE;com 'accton_technology' 
accton_technologies:: NNP NE;com 'accton_technology' 
ace_tempest_reinsurance:: NNP NE;com 'ace_tempest_re' 
acelon_chem:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemical:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemical_&_fiber:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemical_and_fiber:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemicals:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemicals_&_fibers:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemicals_and_fiber:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_chemicals_and_fibers:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_fiber:: NNP NE;com 'acelon_chemicals_&_fiber' 
acelon_fibers:: NNP NE;com 'acelon_chemicals_&_fiber' 
acer_wallace_evans:: NNP NE;com 'hyder_consulting' 
aceto_chem:: NNP NE;com 'aceto_chemicals' 
aceto_chemical:: NNP NE;com 'aceto_chemicals' 
acg_id:: NNP NE;com 'acg_identification_technologies' 
acg_id_tech:: NNP NE;com 'acg_identification_technologies' 
acg_id_technologies:: NNP NE;com 'acg_identification_technologies' 
acg_id_technology:: NNP NE;com 'acg_identification_technologies' 
acg_identification:: NNP NE;com 'acg_identification_technologies' 
acg_identification_tech:: NNP NE;com 'acg_identification_technologies' 
acg_identification_technology:: NNP NE;com 'acg_identification_technologies' 
aco_optical_coatings:: NNP NE;com 'american_computer_optics' 
